order,SpecimenID,Site,X,Y,Spit,Raw.material,Key
1585,20210,BCJ area F7,13.65,28.6,6,quartz,NA
5169,NA,NA,21,28.6,NA,NA,Excavation boundary
5407,NA,NA,12,28.6,NA,NA,Excavation boundary
660,19289,BCJ area F7,16.65,28.62,6,chert,Flake local F28
348,18937,BCJ area F7,18.183,28.65,4,silcrete,Flake local F28
396,19040,BCJ area F7,18.8,28.65,6,chert,Flake local F24
444,19069,BCJ area F7,19.3,28.65,4,silcrete,Flake local F26
469,19094,BCJ area F7,17.3,28.65,4,chert,Flake local F28
661,19281,BCJ area F7,16.02,28.65,4,silcrete,NA
662,19285,BCJ area F7,16.27,28.65,4,quartz,NA
663,19293,BCJ area F7,16.72,28.65,6,chert,NA
750,19374,BCJ area F7,20.3,28.65,4,silcrete,Flake local F26
794,19415,BCJ area F7,15.3,28.65,4,chert,Flake local F28
1051,19676,BCJ area F7,14.95,28.65,6,quartz,NA
1564,20189,BCJ area F7,13.3,28.65,4,quartz,Flake local quartz
3731,22317,BCJ area F7,12.3,28.65,6,quartz,Flake local quartz
5170,NA,NA,21,28.7,NA,NA,Excavation boundary
311,18936,BCJ area F7,18.8,28.7,4,silcrete,Flake local F26
443,19068,BCJ area F7,19.8,28.7,4,silcrete,Flake local F26
468,19093,BCJ area F7,17.8,28.7,4,chert,Flake local F28
749,19373,BCJ area F7,20.8,28.7,4,silcrete,Scraper imported
805,19414,BCJ area F7,15.8,28.7,4,silcrete,Flake local F26
1024,19649,BCJ area F7,14.9576,28.7,8,quartz,Flake local quartz
1056,19681,BCJ area F7,14.6,28.7,6,quartz,NA
1060,19685,BCJ area F7,14.75,28.7,8,quartz,NA
1007,19632,BCJ area F7,14.8,28.7,4,silcrete,Flake local F26
1563,20188,BCJ area F7,13.8,28.7,4,quartz,Flake local quartz
3730,22316,BCJ area F7,12.8,28.7,6,quartz,Flake local quartz
5406,NA,NA,12,28.7,NA,NA,Excavation boundary
664,19291,BCJ area F7,16.14,28.72,6,chert,Flake local F28
332,18957,BCJ area F7,18,28.75,6,silcrete,Flake local F26
