order,SpecimenID,Image.J.ID,Site,X,Y,Spit,Raw.material,Key,activity_area
1,547,,BCJ area G,18.33,18.93,12,silcrete,Flake local G4,Area 1
1,549,,BCJ area G,18.39,18.38,2,silcrete,Flake local G4,Area 1
1,550,,BCJ area G,17,16,2,silcrete,Flake local G4,Area 1
1,553,,BCJ area G,17.24,16.21,4,silcrete,Flake local G4,Area 1
1,572,,BCJ area G,17.01,16.37,6,chert,Flake local G4,Area 1
1,573,,BCJ area G,17.26,16.2,6,silcrete,Flake local G4,Area 1
1,574,,BCJ area G,17.51,16.45,6,silcrete,Flake local G4,Area 1
1,575,,BCJ area G,17.69,16.11,6,silcrete,Flake local G4,Area 1
1,576,,BCJ area G,17.94,16.16,6,silcrete,Flake local G4,Area 1
1,577,,BCJ area G,17.27,16.61,6,silcrete,Flake local G4,Area 1
1,602,,BCJ area G,17.04,16.5,8,silcrete,Flake local G4,Area 1
1,603,,BCJ area G,17.29,16.75,8,silcrete,Flake local G4,Area 1
1,604,,BCJ area G,17.47,16.91,8,silcrete,Flake local G4,Area 1
1,605,,BCJ area G,17.22,16.66,8,silcrete,Flake local G4,Area 1
1,606,,BCJ area G,17.05,16.91,8,silcrete,Flake local G4,Area 1
1,608,,BCJ area G,17.3,16.34,8,silcrete,Flake local G4,Area 1
1,609,,BCJ area G,17.48,16.5,8,silcrete,Flake local G4,Area 1
1,610,,BCJ area G,17.53,16.25,8,silcrete,Flake local G4,Area 1
1,627,,BCJ area G,17,15.5,4,silcrete,Flake local G4,Area 1
1,628,,BCJ area G,17.24,15.81,4,silcrete,Flake local G4,Area 1
1,629,,BCJ area G,17.42,15.77,4,silcrete,Flake local G4,Area 1
1,630,,BCJ area G,17.67,15.62,4,silcrete,Flake local G4,Area 1
1,657,,BCJ area G,17.27,15.93,6,silcrete,Flake local G4,Area 1
1,658,,BCJ area G,17.51,15.51,6,silcrete,Flake local G4,Area 1
1,714,,BCJ area G,19,18,4,silcrete,Flake local G4,Area 1
1,715,,BCJ area G,19.24,18.21,4,silcrete,Flake local G4,Area 1
1,716,,BCJ area G,19.5,18.3,4,silcrete,Scraper imported,Area 1
1,717,,BCJ area G,19.67,18.62,4,silcrete,Flake local G4,Area 1
1,720,,BCJ area G,19.14,18.47,6,silcrete,Flake local G4,Area 1
1,721,,BCJ area G,19.04,18.1,6,silcrete,Flake local G4,Area 1
1,729,,BCJ area G,19.16,18.05,8,silcrete,Flake local G4,Area 1
1,730,,BCJ area G,19.4,18.26,8,silcrete,Flake local G4,Area 1
1,731,,BCJ area G,19.22,18.1,8,silcrete,Flake local G4,Area 1
1,732,,BCJ area G,19.46,18.31,8,silcrete,Flake local G4,Area 1
1,737,,BCJ area G,19.36,18.57,10,silcrete,Flake local G4,Area 1
1,738,,BCJ area G,19.26,18.2,10,silcrete,Flake local G4,Area 1
1,739,,BCJ area G,19.51,18.45,10,silcrete,Flake local G4,Area 1
1,742,,BCJ area G,18,17.9,4,silcrete,Flake local G4,Area 1
1,743,,BCJ area G,18.24,17.21,4,silcrete,Flake local G4,Area 1
1,744,,BCJ area G,18.42,17.37,4,silcrete,Flake local G4,Area 1
1,745,,BCJ area G,18.67,17.12,4,silcrete,Flake local G4,Area 1
1,746,,BCJ area G,18.01,17.37,4,silcrete,Flake local G4,Area 1
1,747,,BCJ area G,18.74,17.1,4,silcrete,Flake local G4,Area 1
1,766,,BCJ area G,18.6,17.3,6,chert,Flake local G4,Area 1
1,767,,BCJ area G,18.26,17.2,6,silcrete,Flake local G4,Area 1
1,768,,BCJ area G,18.51,17.15,6,silcrete,Flake local G4,Area 1
1,769,,BCJ area G,18.69,17.61,6,silcrete,Flake local G4,Area 1
1,770,,BCJ area G,18.94,17.86,6,silcrete,Flake local G4,Area 1
1,771,,BCJ area G,18.27,17.61,6,silcrete,Flake local G4,Area 1
1,789,,BCJ area G,18.28,17.4,8,silcrete,Flake local G4,Area 1
1,790,,BCJ area G,18.52,17.61,8,silcrete,Flake local G4,Area 1
1,791,,BCJ area G,18.7,17.77,8,silcrete,Flake local G4,Area 1
1,792,,BCJ area G,18.45,17.52,8,silcrete,Flake local G4,Area 1
1,793,,BCJ area G,18.29,17.77,8,silcrete,Flake local G4,Area 1
1,794,,BCJ area G,18.5,17.5,8,chert,Flake local G4,Area 1
1,802,,BCJ area G,17,19,4,silcrete,Flake local G4,Area 1
1,803,,BCJ area G,17.25,19.25,4,silcrete,Flake local G4,Area 1
1,804,,BCJ area G,17.01,19,4,silcrete,Flake local G4,Area 1
1,816,,BCJ area G,17.4,19.33,6,silcrete,Flake local G4,Area 1
1,817,,BCJ area G,17.22,19.17,6,silcrete,Flake local G4,Area 1
1,818,,BCJ area G,17.46,19.38,6,silcrete,Flake local G4,Area 1
1,819,,BCJ area G,17.64,19.54,6,silcrete,Flake local G4,Area 1
1,820,,BCJ area G,17.89,19.79,6,silcrete,Flake local G4,Area 1
1,821,,BCJ area G,17.23,19.54,6,silcrete,Flake local G4,Area 1
1,822,,BCJ area G,17.96,19.27,6,silcrete,Flake local G4,Area 1
1,823,,BCJ area G,17.36,19.64,6,silcrete,Flake local G4,Area 1
1,824,,BCJ area G,17.26,19.27,6,silcrete,Flake local G4,Area 1
1,838,,BCJ area G,17.44,19.88,8,silcrete,Flake local G4,Area 1
1,839,,BCJ area G,17.69,19.72,8,silcrete,Flake local G4,Area 1
1,840,,BCJ area G,17.02,19.88,8,silcrete,Flake local G4,Area 1
1,841,,BCJ area G,17.81,19.57,8,silcrete,Flake local G4,Area 1
1,842,,BCJ area G,17.21,19.98,8,silcrete,Flake local G4,Area 1
1,843,,BCJ area G,17.46,20.23,8,silcrete,Flake local G4,Area 1
1,844,,BCJ area G,17.22,19.42,8,silcrete,Flake local G4,Area 1
1,845,,BCJ area G,17.46,19.63,8,silcrete,Flake local G4,Area 1
1,846,,BCJ area G,17.28,19.47,8,silcrete,Flake local G4,Area 1
1,848,,BCJ area G,17.7,19.84,8,silcrete,Flake local G4,Area 1
1,850,,BCJ area G,17.29,19.84,8,silcrete,Flake local G4,Area 1
1,851,,BCJ area G,17.4,19.57,8,silcrete,Backed artefact imported,Area 1
1,852,,BCJ area G,17.04,19.94,8,silcrete,Flake local G4,Area 1
1,853,,BCJ area G,17.04,19.57,8,silcrete,Flake local G4,Area 1
1,854,,BCJ area G,17.29,19.82,8,silcrete,Flake local G4,Area 1
1,855,,BCJ area G,17.47,19.98,8,silcrete,Flake local G4,Area 1
1,856,,BCJ area G,17.22,19.73,8,silcrete,Flake local G4,Area 1
1,863,,BCJ area G,17.13,19.13,10,silcrete,Flake local G4,Area 1
1,864,,BCJ area G,17.05,19.5,10,silcrete,Flake local G4,Area 1
1,865,,BCJ area G,17.51,19.13,10,silcrete,Flake local G4,Area 1
1,866,,BCJ area G,17.76,19.38,10,silcrete,Backed artefact local G4,Area 1
1,867,,BCJ area G,17.94,19.54,10,silcrete,Flake local G4,Area 1
1,868,,BCJ area G,17.05,19.79,10,silcrete,Flake local G4,Area 1
1,879,,BCJ area G,17.32,19.5,14,silcrete,Flake local G4,Area 1
1,916,,BCJ area G,18.01,16.4,6,silcrete,Flake local G4,Area 1
1,917,,BCJ area G,18.16,16.65,6,silcrete,Flake local G4,Area 1
1,918,,BCJ area G,18.44,16.81,8,silcrete,Flake local G4,Area 1
1,919,,BCJ area G,18.69,16.65,8,silcrete,Flake local G4,Area 1
1,920,,BCJ area G,18.32,16.81,8,silcrete,Flake local G4,Area 1
1,921,,BCJ area G,18.81,16.5,8,silcrete,Flake local G4,Area 1
1,922,,BCJ area G,18.21,16.91,8,silcrete,Flake local G4,Area 1
1,929,,BCJ area G,17,20,4,silcrete,Flake local G4,Area 1
1,930,,BCJ area G,17.24,20.21,4,silcrete,Flake local G4,Area 1
1,934,,BCJ area G,17.74,20.1,6,silcrete,Flake local G4,Area 1
