order,SpecimenID,Image.J.ID,Site,Pit,X,Y,Spit,TP.spit,Category,Raw.material,artefact,Key,activity_area,Nodule,Retouch,Use wear,CONJOIN SET,Breakage
1,431,,BCJ area G,G9B,17.5,17.35,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,432,,BCJ area G,G9B,17.68,17.51,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,434,,BCJ area G,G9B,17.27,17.51,12,6 (50-60cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,437,,BCJ area G,G9C,16.62,17.37,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,438,,BCJ area G,G9C,16.97,17.62,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4F,1
1,439,,BCJ area G,G9C,16.01,17.37,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,440,,BCJ area G,G9C,16.94,17.1,4,2 (10-20cm),Flake,silcrete,Backed artefact,Backed artefact imported,Area 1,ISOSILC,backed,Possible,NA,3
1,441,,BCJ area G,G9C,16.14,17.47,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,442,,BCJ area G,G9C,16.04,17.1,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4D,3
1,443,,BCJ area G,G9C,16.59,17.35,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,444,,BCJ area G,G9C,16.77,17.51,4,2 (10-20cm),"Shatter, non-diagnostic",silcrete,,Flake local G4,Area 1,G4,,,NA,
1,445,,BCJ area G,G9C,16.72,17.76,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,446,,BCJ area G,G9C,16.15,17.51,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,447,,BCJ area G,G9C,16.75,17.2,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,6
1,448,,BCJ area G,G9C,16.25,17.61,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,449,,BCJ area G,G9C,16.54,17.86,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,450,,BCJ area G,G9C,16.26,17.05,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,462,,BCJ area G,G9C,16.94,17.86,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,463,,BCJ area G,G9C,16.37,17.61,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,464,,BCJ area G,G9C,16.47,17.3,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,465,,BCJ area G,G9C,16.81,17.51,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,6
1,466,,BCJ area G,G9C,16.99,17.67,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,478,,BCJ area G,G9C,16.66,18.16,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4AJ,3
1,479,,BCJ area G,G9C,16.32,17.35,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4R,no,No,G4RB,1
1,480,,BCJ area G,G9C,16.76,17.56,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,481,,BCJ area G,G9C,16.48,17.4,8,4 (30-40cm),"Shatter, non-diagnostic",silcrete,,Flake local G4,Area 1,G4,,,NA,
1,482,,BCJ area G,G9C,16.82,17.61,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,483,,BCJ area G,G9C,16.87,17.17,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,499,,BCJ area G,G9D,18,18,2,1 (0-10cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,500,,BCJ area G,G9D,18.24,18.21,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,501,,BCJ area G,G9D,18.42,18.37,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,512,,BCJ area G,G9D,18.62,18.2,6,3 (20-30cm),"Shatter, non-diagnostic",silcrete,,Flake local G4,Area 1,G4,,,NA,
1,513,,BCJ area G,G9D,18.02,18.61,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,514,,BCJ area G,G9D,18.27,18.86,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,520,,BCJ area G,G9D,18.76,18.72,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,521,,BCJ area G,G9D,18.1,18.47,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,522,,BCJ area G,G9D,18.83,18.2,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,6
1,524,,BCJ area G,G9D,18.23,18.57,8,4 (30-40cm),"Shatter, non-diagnostic",silcrete,,Flake local G4,Area 1,G4,,,NA,
1,525,,BCJ area G,G9D,18.13,18.2,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,533,,BCJ area G,G9D,18.38,18.45,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,534,,BCJ area G,G9D,18.15,18.67,10,5 (40-50cm),Flake,silcrete,Backed artefact,Backed artefact local G4,Area 1,G4,backed,No,G4AR,3
1,535,,BCJ area G,G9D,18.48,18.4,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,536,,BCJ area G,G9D,18.02,18.77,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,537,,BCJ area G,G9D,18.02,18.4,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4E,3
1,538,,BCJ area G,G9D,18.27,18.65,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,539,,BCJ area G,G9D,18.45,18.81,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
