order,Image.J.ID,SpecimenID,Site,notX,notY,X,Y,Spit,Raw.material,Key
4132,26,17955,BCJ area F7,NA,NA,18.55,13.1,4,quartz,Flake local quartz
4133,27,17956,BCJ area F7,NA,NA,18.3,13.3,4,quartz,NA
4134,28,17957,BCJ area F7,NA,NA,18.45,13.75,6,silcrete,NA
4135,29,17958,BCJ area F7,NA,NA,18.1,13.05,6,silcrete,NA
4136,30,17959,BCJ area F7,NA,NA,18.95,13.05,6,silcrete,Flake local F13
4137,31,17960,BCJ area F7,NA,NA,18.8,13.45,6,silcrete,NA
4138,32,17961,BCJ area F7,NA,NA,18.1,13.1,6,silcrete,NA
4139,33,17962,BCJ area F7,NA,NA,18.6,13.6,6,silcrete,NA
4140,34,17963,BCJ area F7,NA,NA,18.9,13.8,6,silcrete,NA
4141,35,17964,BCJ area F7,NA,NA,18.4,13.75,6,silcrete,NA
4142,36,17965,BCJ area F7,NA,NA,19.8,13.45,6,silcrete,NA
4143,37,17966,BCJ area F7,NA,NA,18.45,13.3,6,silcrete,NA
4144,38,17967,BCJ area F7,NA,NA,19,13.195,6,silcrete,NA
4145,39,17968,BCJ area F7,NA,NA,18.2,13.95,6,silcrete,NA
4146,40,17969,BCJ area F7,NA,NA,18.8,13.15,6,silcrete,NA
4147,41,17970,BCJ area F7,NA,NA,18.15,13.5,6,silcrete,NA
4148,42,17971,BCJ area F7,NA,NA,18.7,13.9,6,silcrete,NA
4149,43,17972,BCJ area F7,NA,NA,18.15,13.25,6,silcrete,NA
4150,44,17973,BCJ area F7,NA,NA,18.7,13.45,6,silcrete,NA
4151,45,17974,BCJ area F7,NA,NA,18.35,13.15,6,silcrete,NA
4152,46,17975,BCJ area F7,NA,NA,18.35,13.18,6,quartz,NA
4153,47,17976,BCJ area F7,NA,NA,18.95,13.65,6,quartz,Flake local quartz
4154,48,17977,BCJ area F7,NA,NA,18.8,13.3,6,quartz,NA
4155,49,17978,BCJ area F7,NA,NA,18.1,13.55,6,quartz,Flake local quartz
4156,50,17979,BCJ area F7,NA,NA,18.55,13.95,8,silcrete,NA
4157,51,17980,BCJ area F7,NA,NA,18.35,13.9,8,silcrete,NA
4158,52,17981,BCJ area F7,NA,NA,18.6,13.7,8,silcrete,NA
4159,53,17982,BCJ area F7,NA,NA,18.95,13.95,8,silcrete,NA
4160,54,17983,BCJ area F7,NA,NA,18.1,13.9,8,quartz,NA
4161,55,17984,BCJ area F7,NA,NA,18.1,13.85,8,quartz,NA
4162,56,17985,BCJ area F7,NA,NA,18.75,13.7,8,quartz,NA
4163,57,17986,BCJ area F7,NA,NA,18.65,13.2,8,quartz,NA
4164,58,17987,BCJ area F7,NA,NA,18.4,13.4,8,quartz,NA
4165,59,17988,BCJ area F7,NA,NA,18.55,13.85,8,quartz,NA
4166,60,17989,BCJ area F7,NA,NA,18.2,13.15,8,quartz,NA
4167,61,17990,BCJ area F7,NA,NA,18.9,13.15,8,quartz,NA
4168,62,17991,BCJ area F7,NA,NA,18.9,13.55,8,quartz,Flake local quartz
4169,63,17992,BCJ area F7,NA,NA,18.2,13.2,8,quartz,NA
4170,64,17993,BCJ area F7,NA,NA,18.7,13.7,10,quartz,NA
4171,1,17994,BCJ area F7,18,12,18,12,2,silcrete,NA
4172,2,17995,BCJ area F7,NA,NA,18.5,12.5,2,quartz,NA
4173,3,17996,BCJ area F7,NA,NA,18.8,12.7,4,silcrete,NA
4174,4,17997,BCJ area F7,NA,NA,18.3,12.65,4,silcrete,NA
4175,5,17998,BCJ area F7,NA,NA,18.9,12.35,4,silcrete,NA
4176,6,17999,BCJ area F7,NA,NA,18.35,12.2,4,silcrete,NA
4177,7,18000,BCJ area F7,NA,NA,18.95,12.095,4,silcrete,NA
4178,8,18001,BCJ area F7,NA,NA,18.1,12.85,4,silcrete,NA
4179,9,18002,BCJ area F7,NA,NA,18.7,12.05,4,silcrete,NA
4180,10,18003,BCJ area F7,NA,NA,18.05,12.4,4,silcrete,NA
4181,11,18004,BCJ area F7,NA,NA,18.6,12.8,4,silcrete,NA
4182,12,18005,BCJ area F7,NA,NA,19,12.15,4,silcrete,NA
4183,13,18006,BCJ area F7,NA,NA,18.6,12.35,4,quartz,Flake local quartz
4184,14,18007,BCJ area F7,NA,NA,18.25,12.05,4,quartz,NA
4185,15,18008,BCJ area F7,NA,NA,18.25,13,4,quartz,Flake local quartz
4186,16,18009,BCJ area F7,NA,NA,18.85,12.55,4,quartz,NA
4187,17,18010,BCJ area F7,NA,NA,18.7,12.2,4,quartz,NA
4188,18,18011,BCJ area F7,NA,NA,19,12.45,6,silcrete,NA
4189,19,18012,BCJ area F7,NA,NA,18.45,12.95,6,silcrete,NA
4190,20,18013,BCJ area F7,NA,NA,18.25,12.8,6,silcrete,NA
4191,21,18014,BCJ area F7,NA,NA,18.5,12.6,6,silcrete,NA
4192,22,18015,BCJ area F7,NA,NA,18.85,12.95,6,silcrete,NA
4193,23,18016,BCJ area F7,NA,NA,19,12.8,6,silcrete,NA
4194,24,18017,BCJ area F7,NA,NA,18,12.75,6,silcrete,NA
4195,25,18018,BCJ area F7,NA,NA,18.65,12.6,6,silcrete,NA
4196,26,18019,BCJ area F7,NA,NA,18.55,12.1,6,silcrete,NA
4197,27,18020,BCJ area F7,NA,NA,18.3,12.3,6,silcrete,NA
4198,28,18021,BCJ area F7,NA,NA,18.45,12.75,6,quartz,NA
4199,29,18022,BCJ area F7,NA,NA,18.1,12.05,6,quartz,NA
4200,30,18023,BCJ area F7,NA,NA,18.95,12.05,8,quartz,NA
4202,31,18024,BCJ area F7,NA,NA,18.6,12.95,8,quartz,NA
4203,32,18025,BCJ area F7,NA,NA,18.6,12.6,8,quartz,NA
4205,33,18026,BCJ area F7,NA,NA,19.8,14.05,8,quartz,NA
4206,34,18027,BCJ area F7,NA,NA,18.4,14.25,8,quartz,NA
4207,35,18028,BCJ area F7,NA,NA,18.9,14.2,8,silcrete,NA
4208,36,18029,BCJ area F7,NA,NA,18.2,13.9,8,silcrete,NA
4209,37,18030,BCJ area F7,NA,NA,18.95,13.75,10,quartz,NA
4210,38,18031,BCJ area F7,NA,NA,18.3,13.645,10,quartz,NA
4211,39,18032,BCJ area F7,NA,NA,18.7,14.4,10,quartz,NA
4212,40,18033,BCJ area F7,NA,NA,18.7,13.6,10,quartz,NA
4213,1,18034,BCJ area F7,15,11,15,11,4,silcrete,NA
4214,2,18035,BCJ area F7,NA,NA,15.5,11.5,4,quartz,NA
4215,3,18036,BCJ area F7,NA,NA,15.8,11.7,4,quartz,NA
4216,4,18037,BCJ area F7,NA,NA,15.3,11.65,4,quartz,NA
4217,5,18038,BCJ area F7,NA,NA,15.9,11.35,6,quartz,NA
4218,6,18039,BCJ area F7,NA,NA,15.35,11.2,6,quartz,NA
4219,7,18040,BCJ area F7,NA,NA,15.95,11.095,6,quartz,NA
4220,8,18041,BCJ area F7,NA,NA,15.1,11.85,6,quartz,NA
4221,9,18042,BCJ area F7,NA,NA,15.7,11.05,6,silcrete,NA
4222,10,18043,BCJ area F7,NA,NA,15.05,11.4,6,silcrete,NA
4223,11,18044,BCJ area F7,NA,NA,15.6,11.8,6,silcrete,NA
4224,12,18045,BCJ area F7,NA,NA,16,11.15,8,quartz,NA
4225,13,18046,BCJ area F7,NA,NA,15.6,11.35,8,quartz,NA
4226,14,18047,BCJ area F7,NA,NA,15.25,11.05,8,quartz,NA
4227,15,18048,BCJ area F7,NA,NA,15.25,12,8,quartz,NA
4228,16,18049,BCJ area F7,NA,NA,15.85,11.55,8,quartz,NA
4229,17,18050,BCJ area F7,NA,NA,15.7,11.2,8,quartz,NA
4230,18,18051,BCJ area F7,NA,NA,16,11.45,8,silcrete,NA
4231,19,18052,BCJ area F7,NA,NA,15.45,11.95,10,quartz,NA
4232,20,18053,BCJ area F7,NA,NA,15.25,11.8,10,quartz,NA
4233,21,18054,BCJ area F7,NA,NA,15.5,11.6,10,quartz,NA
4234,22,18055,BCJ area F7,NA,NA,15.85,11.95,10,NA,NA
